nama_jamaah,desa,kelompok,jenis_kelamin,tgl_lahir,status_pernikahan,no_kk,no_hp,status_keluarga,alamat,pendidikan
Ahmad Budiman,SUKAMAJU,TARBIYAH,L,1990-05-15,MENIKAH,3201011234567890,081234567890,KEPALA,Jl. Merdeka No. 1,S1
Siti Nurhaliza,SUKAMAJU,MUSLIMAH,P,1992-08-22,MENIKAH,3201011234567890,082345678901,ISTRI,Jl. Merdeka No. 1,S1
Budi Santoso,KARAWACI,PEMUDA,L,1985-12-10,MENIKAH,3201019876543210,083456789012,KEPALA,Jl. Diponegoro No. 10,D3
Dewi Sartika,KARAWACI,WANITA ISLAM,P,1988-03-25,JANDA,3201019876543210,084567890123,ISTRI,Jl. Diponegoro No. 10,SMA
Eko Prasetyo,BENDA,BENTENG,L,1995-07-08,BELUM,3201015555555555,085678901234,ANAK,Jl. Sudirman No. 25,Kuliah
Fajar Nugraha,BENDA,BENDA LAMA,L,2000-11-30,BELUM,3201015555555555,086789012345,ANAK,Jl. Sudirman No. 25,SMA
Gita Pertiwi,CILEDUG,PAUD,P,2005-04-12,BELUM,3201011111111111,087890123456,ANAK,Jl. Gatot Subroto No. 5,SD
Hendra Wijaya,CILEDUG,TARBIYAH,L,1978-09-18,MENIKAH,3201012222222222,088901234567,KEPALA,Jl. Gatot Subroto No. 5,S2
Indah Permatasari,CILEDUG,MUSLIMAH,P,1980-02-05,MENIKAH,3201012222222222,089012345678,ISTRI,Jl. Gatot Subroto No. 5,S1
Joko Susilo,BATUCEPER,KERJA,L,1982-06-22,DUDA,3201013333333333,090123456789,KEPALA,Jl. Ahmad Yani No. 15,SMA
Rina Kusuma,BATUCEPER,PEMUDA,P,1985-01-10,MENIKAH,3201014444444444,091234567890,ISTRI,Jl. Ahmad Yani No. 15,S1
Dedi Prasetyo,TANGERANG,TARBIYAH,L,1980-05-20,MENIKAH,3201015555555555,092345678901,KEPALA,Jl. Ki Hajar Dewantara No. 5,S1
Lestari Sari,TANGERANG,MUSLIMAH,P,1982-09-15,MENIKAH,3201015555555555,093456789012,ISTRI,Jl. Ki Hajar Dewantara No. 5,SMA
Agus Hermawan,PORIS,PEMUDA,L,1975-03-10,MENIKAH,3201016666666666,094567890123,KEPALA,Jl. Otto Iskandar No. 20,D3
Ratna Wati,PORIS,WANITA ISLAM,P,1978-07-25,JANDA,3201016666666666,095678901234,ISTRI,Jl. Otto Iskandar No. 20,SMA
